id,html_ime,ime
37903,Antiquities,Antiquities
4707,Architectural-Garden,Architectural & Garden
20082,Asian-Antiques,Asian Antiques
20086,Decorative-Arts,Decorative Arts
2207,Ethnographic,Ethnographic
163008,Home-Hearth,Home & Hearth
22422,Incunabula,Incunabula
181677,Linens-Textiles-Pre-1930,Linens & Textiles (Pre-1930)
23048,Manuscripts,Manuscripts
37958,Maps-Atlases-Globes,"Maps, Atlases & Globes"
37965,Maritime,Maritime
163091,Mercantile-Trades-Factories,"Mercantile, Trades & Factories"
181726,Musical-Instruments-Pre-1930,Musical Instruments (Pre-1930)
12,Other-Antiques,Other Antiques
100927,Periods-Styles,Periods & Styles
1217,Primitives,Primitives
22608,Reproduction-Antiques,Reproduction Antiques
163101,Restoration-Care,Restoration & Care
37978,Rugs-Carpets,Rugs & Carpets
20094,Science-Medicine-Pre-1930,Science & Medicine (Pre-1930)
156323,Sewing-Pre-1930,Sewing (Pre-1930)
20096,Silver,Silver
158658,Art-from-Dealers-Resellers,Art from Dealers & Resellers
60435,Direct-from-the-Artist,Direct from the Artist
100223,Baby-Gear,Baby Gear
20433,Baby-Safety-Health,Baby Safety & Health
20394,Bathing-Grooming,Bathing & Grooming
66692,Car-Safety-Seats,Car Safety Seats
100982,Carriers-Slings-Backpacks,"Carriers, Slings & Backpacks"
45455,Diapering,Diapering
20400,Feeding,Feeding
117388,Keepsakes-Baby-Announcements,Keepsakes & Baby Announcements
20416,Nursery-Bedding,Nursery Bedding
66697,Nursery-Decor,Nursery Décor
20422,Nursery-Furniture,Nursery Furniture
1261,Other-Baby,Other Baby
37631,Potty-Training,Potty Training
66698,Strollers-Accessories,Strollers & Accessories
19068,Toys-for-Baby,Toys for Baby
45110,Accessories,Accessories
29223,Antiquarian-Collectible,Antiquarian & Collectible
29792,Audiobooks,Audiobooks
118254,Catalogs,Catalogs
182882,Children-Young-Adults,Children & Young Adults
11104,Cookbooks,Cookbooks
171228,Fiction-Literature,Fiction & Literature
280,Magazine-Back-Issues,Magazine Back Issues
171243,Nonfiction,Nonfiction
268,Other-Books,Other Books
2228,Textbooks-Education,"Textbooks, Education"
29399,Wholesale-Bulk-Lots,Wholesale & Bulk Lots
11748,Agriculture-Forestry,Agriculture & Forestry
42892,Automation-Motors-Drives,"Automation, Motors & Drives"
11765,Construction,Construction
92074,Electrical-Test-Equipment,Electrical & Test Equipment
159693,Fuel-Energy,Fuel & Energy
11815,Healthcare-Lab-Life-Science,"Healthcare, Lab & Life Science"
177641,Heavy-Equipment,Heavy Equipment
177647,Heavy-Equipment-Attachments,Heavy Equipment Attachments
41489,Heavy-Equipment-Parts-Accs,Heavy Equipment Parts & Accs
61573,Light-Equipment-Tools,Light Equipment & Tools
11804,Manufacturing-Metalworking,Manufacturing & Metalworking
1266,MRO-Industrial-Supply,MRO & Industrial Supply
25298,Office,Office
26261,Other-Business-Industrial,Other Business & Industrial
19273,Packing-Shipping,Packing & Shipping
26238,Printing-Graphic-Arts,Printing & Graphic Arts
11874,Restaurant-Catering,Restaurant & Catering
11890,Retail-Services,Retail & Services
11759,Websites-Businesses-for-Sale,Websites & Businesses for Sale
28179,Binoculars-Telescopes,Binoculars & Telescopes
11724,Camcorders,Camcorders
15200,Camera-Photo-Accessories,Camera & Photo Accessories
182969,Camera-Drone-Parts-Accs,Camera Drone Parts & Accs
179697,Camera-Drones,Camera Drones
4684,Camera-Manuals-Guides,Camera Manuals & Guides
31388,Digital-Cameras,Digital Cameras
150044,Digital-Photo-Frames,Digital Photo Frames
69323,Film-Photography,Film Photography
64353,Flashes-Flash-Accessories,Flashes & Flash Accessories
78997,Lenses-Filters,Lenses & Filters
30078,Lighting-Studio,Lighting & Studio
27432,Other-Cameras-Photo,Other Cameras & Photo
182074,Replacement-Parts-Tools,Replacement Parts & Tools
30090,Tripods-Supports,Tripods & Supports
21162,Video-Production-Editing,Video Production & Editing
3326,Vintage-Movie-Photography,Vintage Movie & Photography
43304,Cell-Phone-Smartphone-Parts,Cell Phone & Smartphone Parts
9394,Cell-Phone-Accessories,Cell Phone Accessories
9355,Cell-Phones-Smartphones,Cell Phones & Smartphones
136699,Display-Phones,Display Phones
42428,Other-Cell-Phones-Accs,Other Cell Phones & Accs
146492,Phone-Cards-SIM-Cards,Phone Cards & SIM Cards
182064,Smart-Watch-Accessories,Smart Watch Accessories
178893,Smart-Watches,Smart Watches
182073,Vintage-Cell-Phones,Vintage Cell Phones
3082,Baby-Toddler-Clothing,Baby & Toddler Clothing
163147,Costumes-Reenactment-Theater,"Costumes, Reenactment, Theater"
155240,Cultural-Ethnic-Clothing,Cultural & Ethnic Clothing
112425,Dancewear,Dancewear
171146,Kids-Clothing-Shoes-Accs,"Kids' Clothing, Shoes & Accs"
4250,Mens-Accessories,Men's Accessories
1059,Mens-Clothing,Men's Clothing
93427,Mens-Shoes,Men's Shoes
28015,Uniforms-Work-Clothing,Uniforms & Work Clothing
155184,Unisex-Clothing-Shoes-Accs,"Unisex Clothing, Shoes & Accs"
175759,Vintage,Vintage
3259,Wedding-Formal-Occasion,Wedding & Formal Occasion
41964,Wholesale-Large-Small-Lots,"Wholesale, Large & Small Lots"
4251,Womens-Accessories,Women's Accessories
15724,Womens-Clothing,Women's Clothing
169291,Womens-Handbags-Bags,Women's Handbags & Bags
3034,Womens-Shoes,Women's Shoes
39482,Bullion,Bullion
4733,Coins-Ancient,Coins: Ancient
3377,Coins-Canada,Coins: Canada
18466,Coins-Medieval,Coins: Medieval
253,Coins-US,Coins: US
256,Coins-World,Coins: World
3452,Exonumia,Exonumia
169305,Other-Coins-Paper-Money,Other Coins & Paper Money
3412,Paper-Money-US,Paper Money: US
3411,Paper-Money-World,Paper Money: World
83274,Publications-Supplies,Publications & Supplies
3444,Stocks-Bonds-Scripophily,"Stocks & Bonds, Scripophily"
179197,Virtual-Currency,Virtual Currency
34,Advertising,Advertising
1335,Animals,Animals
13658,Animation-Art-Characters,Animation Art & Characters
66502,Arcade-Jukeboxes-Pinball,"Arcade, Jukeboxes & Pinball"
14429,Autographs,Autographs
66503,Banks-Registers-Vending,"Banks, Registers & Vending"
3265,Barware,Barware
156277,Beads,Beads
29797,Bottles-Insulators,Bottles & Insulators
562,Breweriana-Beer,"Breweriana, Beer"
898,Casino,Casino
397,Clocks,Clocks
63,Comics,Comics
1462,Credit-Charge-Cards,"Credit, Charge Cards"
3913,Cultures-Ethnicities,Cultures & Ethnicities
13777,Decorative-Collectibles,Decorative Collectibles
137,Disneyana,Disneyana
10860,Fantasy-Mythical-Magic,"Fantasy, Mythical & Magic"
13877,Historical-Memorabilia,Historical Memorabilia
907,Holiday-Seasonal,Holiday & Seasonal
13905,Kitchen-Home,Kitchen & Home
1401,Knives-Swords-Blades,"Knives, Swords & Blades"
1404,Lamps-Lighting,"Lamps, Lighting"
940,Linens-Textiles-1930-Now,Linens & Textiles (1930-Now)
1430,Metalware,Metalware
13956,Militaria,Militaria
182982,Non-Sport-Trading-Cards,Non-Sport Trading Cards
124,Paper,Paper
966,Pens-Writing-Instruments,Pens & Writing Instruments
14005,Pez-Keychains-Promo-Glasses,"Pez, Keychains, Promo Glasses"
1463,Phone-Cards,Phone Cards
14277,Photographic-Images,Photographic Images
39507,Pinbacks-Bobbles-Lunchboxes,"Pinbacks, Bobbles, Lunchboxes"
914,Postcards,Postcards
29832,Radio-Phonograph-TV-Phone,"Radio, Phonograph, TV, Phone"
1446,Religion-Spirituality,Religion & Spirituality
3213,Rocks-Fossils-Minerals,"Rocks, Fossils & Minerals"
412,Science-Medicine-1930-Now,Science & Medicine (1930-Now)
152,Science-Fiction-Horror,Science Fiction & Horror
113,Sewing-1930-Now,Sewing (1930-Now)
165800,Souvenirs-Travel-Memorabilia,Souvenirs & Travel Memorabilia
593,Tobacciana,Tobacciana
13849,Tools-Hardware-Locks,"Tools, Hardware & Locks"
417,Transportation,Transportation
597,Vanity-Perfume-Shaving,"Vanity, Perfume & Shaving"
69851,Vintage-Retro-Mid-Century,"Vintage, Retro, Mid-Century"
182094,Computer-Cables-Connectors,Computer Cables & Connectors
175673,Computer-Components-Parts,Computer Components & Parts
171957,Desktops-All-In-Ones,Desktops & All-In-Ones
165,Drives-Storage-Blank-Media,"Drives, Storage & Blank Media"
175698,Enterprise-Networking-Servers,"Enterprise Networking, Servers"
11176,Home-Networking-Connectivity,Home Networking & Connectivity
3676,Keyboards-Mice-Pointers,"Keyboards, Mice & Pointers"
31530,Laptop-Desktop-Accessories,Laptop & Desktop Accessories
175672,Laptops-Netbooks,Laptops & Netbooks
3516,Manuals-Resources,Manuals & Resources
162497,Monitors-Projectors-Accs,"Monitors, Projectors & Accs"
162,Other-Computers-Networking,Other Computers & Networking
86722,Power-Protection-Distribution,"Power Protection, Distribution"
171961,Printers-Scanners-Supplies,"Printers, Scanners & Supplies"
18793,Software,Software
176970,Tablet-eBook-Reader-Accs,Tablet & eBook Reader Accs
180235,Tablet-eBook-Reader-Parts,Tablet & eBook Reader Parts
171485,Tablets-eBook-Readers,Tablets & eBook Readers
11189,Vintage-Computing,Vintage Computing
14948,Gadgets-Other-Electronics,Gadgets & Other Electronics
50582,Home-Automation,Home Automation
48633,Home-Surveillance,Home Surveillance
3286,Home-Telephones-Accessories,Home Telephones & Accessories
48446,Multipurpose-Batteries-Power,Multipurpose Batteries & Power
15052,Portable-Audio-Headphones,Portable Audio & Headphones
1500,Radio-Communication,Radio Communication
32852,TV-Video-Home-Audio,"TV, Video & Home Audio"
3270,Vehicle-Electronics-GPS,Vehicle Electronics & GPS
183077,Vintage-Electronics,Vintage Electronics
183067,Virtual-Reality,Virtual Reality
61494,Wholesale-Lots,Wholesale Lots
11783,Art-Supplies,Art Supplies
31723,Beads-Jewelry-Making,Beads & Jewelry Making
28162,Fabric,Fabric
183118,Fabric-Painting-Decorating,Fabric Painting & Decorating
163778,Glass-Mosaics,Glass & Mosaics
71183,Handcrafted-Finished-Pieces,Handcrafted & Finished Pieces
160667,Home-Arts-Crafts,Home Arts & Crafts
116652,Kids-Crafts,Kids' Crafts
28131,Leathercrafts,Leathercrafts
