Ime,Cena_Bid,Bids,Cena_Buy,Buy,Cas,Drzava,Kategorija
ANTIQUE SILVER RING WITH STONE INSERT,18.46,0,None,None,1484949887000,United Kingdom,Antiquities
NICE LAPIS LAZULI SEAL STAMP WITH INTERESTING IMPRESSIONS,12.29,0,None,None,1484949887000,United Kingdom,Antiquities
LOVELY HARDSTONE SEAL WITH ZOOMORPHIC IMPRESSION,12.29,0,None,None,1484949887000,United Kingdom,Antiquities
ANTIQUE SILVER RING WITH STONE INSERT,18.46,0,None,None,1484949887000,United Kingdom,Antiquities
ANTIQUE SILVER RING WITH STONE INSERT,18.46,0,None,None,1484949888000,United Kingdom,Antiquities
NICE HARDSTONE SEAL WITH ZOOMORPHIC SCENE IMPRESSION,12.29,0,None,None,1484949888000,United Kingdom,Antiquities
BEAUTIFUL ANTIQUE SILVER RING WITH ISLAMIC CALLIGRAPHY,18.46,0,None,None,1484949888000,United Kingdom,Antiquities
INTERESTING ANCIENT ROMAN BRONZE OBJECT,239.93,0,None,None,1484949888000,United Kingdom,Antiquities
ANTIQUE SILVER RING WITH STONE INSERT,18.46,0,None,None,1484949888000,United Kingdom,Antiquities
HARDSTONE SEAL WITH INTERESTING IMPRESSION,18.44,0,None,None,1484949888000,United Kingdom,Antiquities
ANTIQUE OLD PRIMITIVE OTTOMAN EMPIRE  Cigarett wood nacre,49.99,0,None,None,1484951468000,Serbia,Antiquities
ancient crosses Old Believers of Russia,25.00,0,None,None,1484952050000,Russian Federation,Antiquities
VINTAGE ANTIQUE HANDMADE HAND PAINTED CASKET JEWELRY BOX,15.00,0,None,None,1484952120000,United States,Antiquities
Teotihuacan Potion Tequila Bottle Mexico Mask Semi Precious Totem Folk Art,89.98,0,None,None,1484952162000,United States,Antiquities
colonial marbles,24.00,0,None,None,1484952366000,United States,Antiquities
ORIGINAL OLD ISLAMIC ARABIC IBRIK PITCHER JUG TEAPOT INSCRIPTIONS IN ARABIC ON,180.00,0,None,None,1484952591000,Spain,Antiquities
LARGE SIZE IMITATION ROMAN COPPER PLATE APPLIQUE ORNAMENT FROM BARBARUS,19.69,2,None,None,1484952978000,Cyprus,Antiquities
Viking t shirt Runes Valhalla Huginn and Muninn Ravens Runes,13.99,0,None,None,1484953379000,United States,Antiquities
VINTAGE INTAGLIO SASANIAN STYLE AGED STONE SEAL,16.61,7,None,None,1484953614000,Cyprus,Antiquities
VERY RARE BRONZE AGE RAZOR MIDDLE EAST LURISTAN,71.36,5,None,None,1484954490000,Cyprus,Antiquities
Very Old Middle Age Byzantine Tinder,1.00,0,None,None,1484954503000,United States,Antiquities
ANTIQUE SILVER RING WITH STONE INSERT,18.46,0,None,None,1484949887000,United Kingdom,Antiquities
NICE LAPIS LAZULI SEAL STAMP WITH INTERESTING IMPRESSIONS,12.29,0,None,None,1484949887000,United Kingdom,Antiquities
LOVELY HARDSTONE SEAL WITH ZOOMORPHIC IMPRESSION,12.29,0,None,None,1484949887000,United Kingdom,Antiquities
ANTIQUE SILVER RING WITH STONE INSERT,18.46,0,None,None,1484949887000,United Kingdom,Antiquities
ANTIQUE SILVER RING WITH STONE INSERT,18.46,0,None,None,1484949888000,United Kingdom,Antiquities
NICE HARDSTONE SEAL WITH ZOOMORPHIC SCENE IMPRESSION,12.29,0,None,None,1484949888000,United Kingdom,Antiquities
BEAUTIFUL ANTIQUE SILVER RING WITH ISLAMIC CALLIGRAPHY,18.46,0,None,None,1484949888000,United Kingdom,Antiquities
INTERESTING ANCIENT ROMAN BRONZE OBJECT,239.93,0,None,None,1484949888000,United Kingdom,Antiquities
ANTIQUE SILVER RING WITH STONE INSERT,18.46,0,None,None,1484949888000,United Kingdom,Antiquities
HARDSTONE SEAL WITH INTERESTING IMPRESSION,18.44,0,None,None,1484949888000,United Kingdom,Antiquities
ANTIQUE OLD PRIMITIVE OTTOMAN EMPIRE  Cigarett wood nacre,49.99,0,None,None,1484951468000,Serbia,Antiquities
ancient crosses Old Believers of Russia,25.00,0,None,None,1484952050000,Russian Federation,Antiquities
VINTAGE ANTIQUE HANDMADE HAND PAINTED CASKET JEWELRY BOX,15.00,0,None,None,1484952120000,United States,Antiquities
Teotihuacan Potion Tequila Bottle Mexico Mask Semi Precious Totem Folk Art,89.98,0,None,None,1484952162000,United States,Antiquities
colonial marbles,24.00,0,None,None,1484952366000,United States,Antiquities
ORIGINAL OLD ISLAMIC ARABIC IBRIK PITCHER JUG TEAPOT INSCRIPTIONS IN ARABIC ON,180.00,0,None,None,1484952591000,Spain,Antiquities
LARGE SIZE IMITATION ROMAN COPPER PLATE APPLIQUE ORNAMENT FROM BARBARUS,19.69,2,None,None,1484952978000,Cyprus,Antiquities
Viking t shirt Runes Valhalla Huginn and Muninn Ravens Runes,13.99,0,None,None,1484953379000,United States,Antiquities
VINTAGE INTAGLIO SASANIAN STYLE AGED STONE SEAL,16.61,7,None,None,1484953614000,Cyprus,Antiquities
VERY RARE BRONZE AGE RAZOR MIDDLE EAST LURISTAN,71.36,5,None,None,1484954490000,Cyprus,Antiquities
Very Old Middle Age Byzantine Tinder,1.00,0,None,None,1484954503000,United States,Antiquities
ANTIQUE SILVER RING WITH STONE INSERT,18.46,0,None,None,1484949887000,United Kingdom,Antiquities
NICE LAPIS LAZULI SEAL STAMP WITH INTERESTING IMPRESSIONS,12.29,0,None,None,1484949887000,United Kingdom,Antiquities
LOVELY HARDSTONE SEAL WITH ZOOMORPHIC IMPRESSION,12.29,0,None,None,1484949887000,United Kingdom,Antiquities
ANTIQUE SILVER RING WITH STONE INSERT,18.46,0,None,None,1484949887000,United Kingdom,Antiquities
ANTIQUE SILVER RING WITH STONE INSERT,18.46,0,None,None,1484949888000,United Kingdom,Antiquities
NICE HARDSTONE SEAL WITH ZOOMORPHIC SCENE IMPRESSION,12.29,0,None,None,1484949888000,United Kingdom,Antiquities
BEAUTIFUL ANTIQUE SILVER RING WITH ISLAMIC CALLIGRAPHY,18.46,0,None,None,1484949888000,United Kingdom,Antiquities
INTERESTING ANCIENT ROMAN BRONZE OBJECT,239.93,0,None,None,1484949888000,United Kingdom,Antiquities
ANTIQUE SILVER RING WITH STONE INSERT,18.46,0,None,None,1484949888000,United Kingdom,Antiquities
HARDSTONE SEAL WITH INTERESTING IMPRESSION,18.44,0,None,None,1484949888000,United Kingdom,Antiquities
ANTIQUE OLD PRIMITIVE OTTOMAN EMPIRE  Cigarett wood nacre,49.99,0,None,None,1484951468000,Serbia,Antiquities
ancient crosses Old Believers of Russia,25.00,0,None,None,1484952050000,Russian Federation,Antiquities
VINTAGE ANTIQUE HANDMADE HAND PAINTED CASKET JEWELRY BOX,15.00,0,None,None,1484952120000,United States,Antiquities
