Ime,Cena_Bid,Bids,Cena_Buy,Buy,Cas,Drzava,Kategorija
ANTIQUE SILVER RING WITH STONE INSERT,None,None,33.22,Buy It Now,1484949915000,Spain,Antiquities
ANTIQUE OLD PRIMITIVE OTTOMAN EMPIRE  Cigarett wood nacre,None,None,750.00,Buy It Now,1484951295000,Italy,Antiquities
AMAZING ANCIENT ROMAN GLASS JAR  BASE FRAGMENT HOLY LAND,None,None,26.53,Buy It Now,1484951394000,Spain,Antiquities
ancient crosses Old Believers of Russia,None,None,15.99,Buy It Now,1484952403000,Netherlands,Antiquities
ORIGINAL OLD ISLAMIC ARABIC IBRIK PITCHER JUG TEAPOT INSCRIPTIONS IN ARABIC ON,None,None,336.38,Buy It Now,1484952665000,United States,Antiquities
LARGE SIZE IMITATION ROMAN COPPER PLATE APPLIQUE ORNAMENT FROM BARBARUS,None,None,100.00,Buy It Now,1484953020000,Spain,Antiquities
Viking t shirt Runes Valhalla Huginn and Muninn Ravens Runes,None,None,248.40,Buy It Now,1484953454000,Spain,Antiquities
VINTAGE INTAGLIO SASANIAN STYLE AGED STONE SEAL,None,None,400.00,Buy It Now,1484953932000,Spain,Antiquities
VERY RARE BRONZE AGE RAZOR MIDDLE EAST LURISTAN,None,None,108.28,Buy It Now,1484954476000,United Kingdom,Antiquities
Very Old Middle Age Byzantine Tinder,None,None,49.99,Buy It Now,1484954503000,United States,Antiquities
Very Old Middle Age Byzantine Tinder,None,None,1.00,Buy It Now,1484954521000,Serbia,Antiquities
ANTIQUE SILVER RING WITH STONE INSERT,None,None,33.22,Buy It Now,1484949915000,Spain,Antiquities
ANTIQUE OLD PRIMITIVE OTTOMAN EMPIRE  Cigarett wood nacre,None,None,750.00,Buy It Now,1484951295000,Italy,Antiquities
AMAZING ANCIENT ROMAN GLASS JAR  BASE FRAGMENT HOLY LAND,None,None,26.53,Buy It Now,1484951394000,Spain,Antiquities
ancient crosses Old Believers of Russia,None,None,15.99,Buy It Now,1484952403000,Netherlands,Antiquities
ORIGINAL OLD ISLAMIC ARABIC IBRIK PITCHER JUG TEAPOT INSCRIPTIONS IN ARABIC ON,None,None,336.38,Buy It Now,1484952665000,United States,Antiquities
LARGE SIZE IMITATION ROMAN COPPER PLATE APPLIQUE ORNAMENT FROM BARBARUS,None,None,100.00,Buy It Now,1484953020000,Spain,Antiquities
Viking t shirt Runes Valhalla Huginn and Muninn Ravens Runes,None,None,248.40,Buy It Now,1484953454000,Spain,Antiquities
VINTAGE INTAGLIO SASANIAN STYLE AGED STONE SEAL,None,None,400.00,Buy It Now,1484953932000,Spain,Antiquities
VERY RARE BRONZE AGE RAZOR MIDDLE EAST LURISTAN,None,None,108.28,Buy It Now,1484954476000,United Kingdom,Antiquities
Very Old Middle Age Byzantine Tinder,None,None,49.99,Buy It Now,1484954503000,United States,Antiquities
Very Old Middle Age Byzantine Tinder,None,None,1.00,Buy It Now,1484954521000,Serbia,Antiquities
ANTIQUE SILVER RING WITH STONE INSERT,None,None,33.22,Buy It Now,1484949915000,Spain,Antiquities
